Count	Name	Author	Color	Comments	Drawing Revision Number	EdgeStyleId	FaceStyleId	File Accessed	File Created	File Last Saved By	File Location	File Modified	File Name	File Size	Height	Hyperlink	Hyperlink Base	Keywords	Layer	Linetype	Linetype Scale	Lineweight	Obliquing	Plot Style	Position X	Position Y	Position Z	Rotation	Style	Subject	Thickness	Title	Total Editing Time	Value	VisualStyleId	Width Factor
1	Text		ByLayer			(0)	(0)	17/5/2021 2:15:51 pm	17/5/2021 2:15:51 pm	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Than	15/11/2019 10:18:28 pm	Mat bang dam san T3.dwg	1288992	400				'NS-Text2	ByLayer	1	ByLayer	0	ByLayer	81619	119072	0	90	TTP-HelCon		0		20132	(300x750/700)	(0)	1
1	Text		ByLayer			(0)	(0)	17/5/2021 2:15:51 pm	17/5/2021 2:15:51 pm	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Than	15/11/2019 10:18:28 pm	Mat bang dam san T3.dwg	1288992	400				'NS-Text1	ByLayer	1	ByLayer	0	ByLayer	76964	123312	0	0	TTP-HelCon		0		20132	DT8-BX-4(300x750/700)	(0)	1
1	Text		ByLayer			(0)	(0)	17/5/2021 2:15:51 pm	17/5/2021 2:15:51 pm	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Than	15/11/2019 10:18:28 pm	Mat bang dam san T3.dwg	1288992	400				'NS-Text1	ByLayer	1	ByLayer	0	ByLayer	81606	121316	0	0	TTP-HelCon		0		20132	(200x750/700)	(0)	1
1	Text		ByLayer			(0)	(0)	17/5/2021 2:15:51 pm	17/5/2021 2:15:51 pm	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Than	15/11/2019 10:18:28 pm	Mat bang dam san T3.dwg	1288992	400				'NS-Text2	ByLayer	1	ByLayer	0	ByLayer	80921	119671	0	90	TTP-HelCon		0		20132	DT8-BY-8	(0)	1
1	Text		ByLayer			(0)	(0)	17/5/2021 2:15:51 pm	17/5/2021 2:15:51 pm	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Than	15/11/2019 10:18:28 pm	Mat bang dam san T3.dwg	1288992	400				'NS-Text2	ByLayer	1	ByLayer	0	ByLayer	45275	143017	0	90	TTP-HelCon		0		20132	DT8-AY-19(450x450/400)	(0)	1
1	Text		ByLayer			(0)	(0)	17/5/2021 2:15:51 pm	17/5/2021 2:15:51 pm	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Than	15/11/2019 10:18:28 pm	Mat bang dam san T3.dwg	1288992	400				'NS-Text2	ByLayer	1	ByLayer	0	ByLayer	-255	123875	0	90	TTP-HelCon		0		20132	DT8-AY-2(300x650/600)	(0)	1
1	Text		ByLayer			(0)	(0)	17/5/2021 2:15:51 pm	17/5/2021 2:15:51 pm	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Than	15/11/2019 10:18:28 pm	Mat bang dam san T3.dwg	1288992	400				'NS-Text1	ByLayer	1	ByLayer	0	ByLayer	77046	118373	0	0	TTP-HelCon		0		20132	DT8-BX-4(300x750/700)	(0)	1
1	Text		ByLayer			(0)	(0)	17/5/2021 2:15:51 pm	17/5/2021 2:15:51 pm	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Than	15/11/2019 10:18:28 pm	Mat bang dam san T3.dwg	1288992	400				'NS-Text2	ByLayer	1	ByLayer	0	ByLayer	94036	94657	0	90	TTP-HelCon		0		20132	DT8-BY-10(300x750/700)	(0)	1
1	Text		ByLayer			(0)	(0)	17/5/2021 2:15:51 pm	17/5/2021 2:15:51 pm	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Than	15/11/2019 10:18:28 pm	Mat bang dam san T3.dwg	1288992	400				'NS-Text1	ByLayer	1	ByLayer	0	ByLayer	82205	121941	0	0	TTP-HelCon		0		20132	DT8-BX-5	(0)	1
1	Text		ByLayer			(0)	(0)	17/5/2021 2:15:51 pm	17/5/2021 2:15:51 pm	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Than	15/11/2019 10:18:28 pm	Mat bang dam san T3.dwg	1288992	400				'NS-Text2	ByLayer	1	ByLayer	0	ByLayer	76506	114125	0	90	TTP-HelCon		0		20132	DT8-BY-3(300x650/600)	(0)	1
