Count	Name	Author	Color	Comments	Drawing Revision Number	EdgeStyleId	FaceStyleId	File Accessed	File Created	File Last Saved By	File Location	File Modified	File Name	File Size	Height	Hyperlink	Hyperlink Base	Keywords	Layer	Linetype	Linetype Scale	Lineweight	Obliquing	Plot Style	Position X	Position Y	Position Z	Rotation	Style	Subject	Thickness	Title	Total Editing Time	Value	VisualStyleId	Width Factor
1	Text		ByLayer			(0)	(0)	17/5/2021 10:47:22 am	17/5/2021 10:47:22 am	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Ngam	17/5/2021 3:44:00 am	Mat bang dam san T1.dwg	12006368	400.00000				TEXT P X	ByLayer	1.00000	ByLayer	0.00000	ByLayer	-3702072.15601	642989.24875	0.00000	0.00000	TTP-HelCon		0.00000		3891549	DT1-CX-26(400x700)	(0)	0.85000
1	Text		ByLayer			(0)	(0)	17/5/2021 10:47:22 am	17/5/2021 10:47:22 am	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Ngam	17/5/2021 3:44:00 am	Mat bang dam san T1.dwg	12006368	400.00000				TEXT P X	ByLayer	1.00000	ByLayer	0.00000	ByLayer	-3692650.19722	642993.20484	0.00000	0.00000	TTP-HelCon		0.00000		3891549	DT1-CX-26(400x700)	(0)	0.85000
1	Text		150			(0)	(0)	17/5/2021 10:47:22 am	17/5/2021 10:47:22 am	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Ngam	17/5/2021 3:44:00 am	Mat bang dam san T1.dwg	12006368	400.00000				TEXT P X	ByLayer	1.00000	ByLayer	0.00000	Color_150	-3659923.83847	651455.56520	0.00000	0.00000	TTP-HelCon		0.00000		3891549	DT1-CX-2(400x400/450/650)	(0)	0.85000
1	Text		ByLayer			(0)	(0)	17/5/2021 10:47:22 am	17/5/2021 10:47:22 am	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Ngam	17/5/2021 3:44:00 am	Mat bang dam san T1.dwg	12006368	400.00000				TEXT P X	ByLayer	1.00000	ByLayer	0.00000	ByLayer	-3707192.05975	642846.15269	0.00000	0.00000	TTP-HelCon		0.00000		3891549	DT1-CX-26	(0)	0.85000
1	Text		ByLayer			(0)	(0)	17/5/2021 10:47:22 am	17/5/2021 10:47:22 am	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Ngam	17/5/2021 3:44:00 am	Mat bang dam san T1.dwg	12006368	400.00000				TEXT P X	ByLayer	1.00000	ByLayer	0.00000	ByLayer	-3685361.35021	642989.24875	0.00000	0.00000	TTP-HelCon		0.00000		3891549	DT1-CX-26(400x700)	(0)	0.85000
1	Text		yellow			(0)	(0)	17/5/2021 10:47:22 am	17/5/2021 10:47:22 am	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Ngam	17/5/2021 3:44:00 am	Mat bang dam san T1.dwg	12006368	400.00000				TEXT P Y	ByLayer	1.00000	ByLayer	0.00000	Color_2	-3704043.09220	718189.39463	0.00000	90.00000	TTP-HelCon		0.00000		3891549	DT1-AY-30	(0)	0.85000
1	Text		green			(0)	(0)	17/5/2021 10:47:22 am	17/5/2021 10:47:22 am	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Ngam	17/5/2021 3:44:00 am	Mat bang dam san T1.dwg	12006368	400.00000				TEXT P Y	ByLayer	1.00000	ByLayer	0.00000	Color_3	-3687957.20013	685955.32624	0.00000	90.00000	TTP-HelCon		0.00000		3891549	DT1-AY-34(400x1800)	(0)	0.85000
1	Text		ByLayer			(0)	(0)	17/5/2021 10:47:22 am	17/5/2021 10:47:22 am	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Ngam	17/5/2021 3:44:00 am	Mat bang dam san T1.dwg	12006368	400.00000				TEXT P X	ByLayer	1.00000	ByLayer	0.00000	ByLayer	-3677049.68856	642993.20484	0.00000	0.00000	TTP-HelCon		0.00000		3891549	DT1-CX-26(400x700)	(0)	0.85000
1	Text		ByLayer			(0)	(0)	17/5/2021 10:47:22 am	17/5/2021 10:47:22 am	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Ngam	17/5/2021 3:44:00 am	Mat bang dam san T1.dwg	12006368	400.00000				TEXT P Y	ByLayer	1.00000	ByLayer	0.00000	ByLayer	-3720031.93152	735786.99132	0.00000	90.00000	TTP-HelCon		0.00000		3891549	DT1-AY-25(400x700)	(0)	0.85000
1	Text		cyan			(0)	(0)	17/5/2021 10:47:22 am	17/5/2021 10:47:22 am	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Ngam	17/5/2021 3:44:00 am	Mat bang dam san T1.dwg	12006368	400.00000				TEXT P X	ByLayer	1.00000	ByLayer	0.00000	Color_4	-3663989.37870	674412.19434	0.00000	327.31355	TTP-HelCon		0.00000		3891549	DT1-CX-32	(0)	0.85000
